syshost=pitzer database=pbsacct year=2019 month=02 software=lammps executables=None cpuhours=1289011.66 corehours=1274036.85 nodehours=36879.92 n_jobs=2456 n_users=12 n_groups=8 n_accounts=9 
syshost=pitzer database=pbsacct year=2019 month=02 software=cam executables=None cpuhours=593351.17 corehours=578379.68 nodehours=18259.12 n_jobs=1510 n_users=3 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=vasp executables=None cpuhours=569380.37 corehours=476484.96 nodehours=16493.24 n_jobs=796 n_users=7 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=02 software=python executables=None cpuhours=495371.56 corehours=65669.40 nodehours=25996.56 n_jobs=12013 n_users=35 n_groups=26 n_accounts=25 
syshost=pitzer database=pbsacct year=2019 month=02 software=molcas executables=None cpuhours=202905.73 corehours=71388.92 nodehours=45001.88 n_jobs=684 n_users=3 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=rosetta executables=None cpuhours=156010.34 corehours=154260.01 nodehours=3906.15 n_jobs=7335 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=raspa executables=None cpuhours=139455.05 corehours=139061.47 nodehours=139455.05 n_jobs=3539 n_users=3 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=qchem executables=None cpuhours=132828.68 corehours=59479.82 nodehours=3554.57 n_jobs=1289 n_users=10 n_groups=5 n_accounts=6 
syshost=pitzer database=pbsacct year=2019 month=02 software=a_out executables=None cpuhours=97373.65 corehours=93132.48 nodehours=3099.80 n_jobs=496 n_users=7 n_groups=5 n_accounts=5 
syshost=pitzer database=pbsacct year=2019 month=02 software=spades executables=None cpuhours=71710.16 corehours=1944.40 nodehours=1825.04 n_jobs=68 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=gromacs executables=None cpuhours=62180.02 corehours=60509.98 nodehours=1761.36 n_jobs=126 n_users=5 n_groups=4 n_accounts=4 
syshost=pitzer database=pbsacct year=2019 month=02 software=wrf executables=None cpuhours=61445.89 corehours=61120.43 nodehours=1561.82 n_jobs=36 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=v2 executables=None cpuhours=48133.49 corehours=47325.91 nodehours=48133.49 n_jobs=33082 n_users=1 n_groups=1 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=gaussian executables=None cpuhours=44134.66 corehours=40855.15 nodehours=1789.74 n_jobs=280 n_users=13 n_groups=13 n_accounts=13 
syshost=pitzer database=pbsacct year=2019 month=02 software=hy3s executables=None cpuhours=26284.58 corehours=4640.38 nodehours=2974.18 n_jobs=18583 n_users=3 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=02 software=matlab executables=None cpuhours=25437.98 corehours=8817.84 nodehours=6696.77 n_jobs=28349 n_users=6 n_groups=5 n_accounts=5 
syshost=pitzer database=pbsacct year=2019 month=02 software=ncl executables=None cpuhours=21567.02 corehours=20161.66 nodehours=539.19 n_jobs=30 n_users=3 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=02 software=amber executables=None cpuhours=21413.53 corehours=5700.93 nodehours=721.12 n_jobs=779 n_users=6 n_groups=5 n_accounts=6 
syshost=pitzer database=pbsacct year=2019 month=02 software=AraSim executables=None cpuhours=19812.94 corehours=18080.28 nodehours=531.90 n_jobs=120 n_users=2 n_groups=2 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=bam executables=None cpuhours=17533.72 corehours=5267.41 nodehours=829.99 n_jobs=895 n_users=6 n_groups=5 n_accounts=5 
syshost=pitzer database=pbsacct year=2019 month=02 software=run_xyzvort executables=None cpuhours=16766.25 corehours=15905.78 nodehours=15423.19 n_jobs=32810 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=phonon executables=None cpuhours=16669.74 corehours=16419.48 nodehours=416.74 n_jobs=64 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=charmm executables=None cpuhours=16665.91 corehours=16532.36 nodehours=783.89 n_jobs=69 n_users=2 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=mexe executables=None cpuhours=14213.30 corehours=14117.80 nodehours=355.33 n_jobs=20 n_users=1 n_groups=2 n_accounts=2 
syshost=pitzer database=pbsacct year=2019 month=02 software=bowtie executables=None cpuhours=12934.87 corehours=5156.48 nodehours=659.80 n_jobs=946 n_users=3 n_groups=3 n_accounts=3 
syshost=pitzer database=pbsacct year=2019 month=02 software=R executables=None cpuhours=11911.16 corehours=5763.20 nodehours=300.83 n_jobs=181 n_users=7 n_groups=7 n_accounts=8 
syshost=pitzer database=pbsacct year=2019 month=02 software=mustem executables=None cpuhours=11005.45 corehours=10955.16 nodehours=275.17 n_jobs=141 n_users=2 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=ddmax executables=None cpuhours=9625.35 corehours=6069.80 nodehours=248.14 n_jobs=113 n_users=1 n_groups=1 n_accounts=1 
syshost=pitzer database=pbsacct year=2019 month=02 software=yt executables=None cpuhours=9508.23 corehours=46.04 nodehours=867.68 n_jobs=206 n_users=43 n_groups=17 n_accounts=16 
syshost=pitzer database=pbsacct year=2019 month=02 software=gtc executables=None cpuhours=7852.68 corehours=2173.42 nodehours=1960.18 n_jobs=203 n_users=2 n_groups=2 n_accounts=2 
