syshost=pitzer database=pbsacct software=python executables=None cpuhours=751929.58 corehours=586235.72 nodehours=141408.24 n_jobs=12537 n_users=62 n_groups=45 n_accounts=42 year=2020 month=04
syshost=pitzer database=pbsacct software=namd executables=None cpuhours=730245.40 corehours=726248.08 nodehours=20462.79 n_jobs=723 n_users=8 n_groups=5 n_accounts=4 year=2020 month=04
syshost=pitzer database=pbsacct software=vasp executables=None cpuhours=689836.75 corehours=646752.58 nodehours=17593.84 n_jobs=6200 n_users=10 n_groups=5 n_accounts=4 year=2020 month=04
syshost=pitzer database=pbsacct software=fluent executables=None cpuhours=476043.26 corehours=18190.12 nodehours=11901.08 n_jobs=79 n_users=1 n_groups=1 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=hy3s executables=None cpuhours=334976.76 corehours=329772.41 nodehours=8454.56 n_jobs=47 n_users=8 n_groups=5 n_accounts=5 year=2020 month=04
syshost=pitzer database=pbsacct software=raspa executables=None cpuhours=199833.70 corehours=198630.50 nodehours=152957.88 n_jobs=16657 n_users=5 n_groups=2 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=R executables=None cpuhours=199772.33 corehours=144461.44 nodehours=7424.52 n_jobs=2149 n_users=9 n_groups=9 n_accounts=10 year=2020 month=04
syshost=pitzer database=pbsacct software=wrf executables=None cpuhours=192862.74 corehours=191579.81 nodehours=5123.88 n_jobs=205 n_users=3 n_groups=2 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=cp2k executables=None cpuhours=179774.98 corehours=164741.15 nodehours=6330.31 n_jobs=648 n_users=2 n_groups=1 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=setsm executables=None cpuhours=156548.51 corehours=71127.37 nodehours=3913.71 n_jobs=1090 n_users=3 n_groups=1 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=molcas executables=None cpuhours=146589.30 corehours=101337.27 nodehours=47625.13 n_jobs=2138 n_users=3 n_groups=1 n_accounts=2 year=2020 month=04
syshost=pitzer database=pbsacct software=qchem executables=None cpuhours=130376.85 corehours=59310.13 nodehours=13170.92 n_jobs=2798 n_users=7 n_groups=3 n_accounts=4 year=2020 month=04
syshost=pitzer database=pbsacct software=gaussian executables=None cpuhours=93400.27 corehours=36488.27 nodehours=2888.75 n_jobs=294 n_users=14 n_groups=14 n_accounts=12 year=2020 month=04
syshost=pitzer database=pbsacct software=a_out executables=None cpuhours=87490.34 corehours=85995.89 nodehours=4100.30 n_jobs=338 n_users=7 n_groups=6 n_accounts=5 year=2020 month=04
syshost=pitzer database=pbsacct software=starccm executables=None cpuhours=81396.33 corehours=80762.97 nodehours=2034.91 n_jobs=15 n_users=1 n_groups=1 n_accounts=1 year=2020 month=04
syshost=pitzer database=pbsacct software=lammps executables=None cpuhours=74279.04 corehours=61161.30 nodehours=16126.61 n_jobs=592 n_users=7 n_groups=7 n_accounts=6 year=2020 month=04
syshost=pitzer database=pbsacct software=tsc executables=None cpuhours=72771.14 corehours=71830.03 nodehours=1819.28 n_jobs=24 n_users=2 n_groups=2 n_accounts=2 year=2020 month=04
