syshost=owens database=pbsacct software=python executables=None cpuhours=1185270.21 corehours=968940.95 nodehours=199847.15 n_jobs=20100 n_users=94 n_groups=71 n_accounts=66 year=2020 month=07
syshost=owens database=pbsacct software=starccm executables=None cpuhours=1170662.55 corehours=1080763.58 nodehours=41809.38 n_jobs=261 n_users=7 n_groups=6 n_accounts=5 year=2020 month=07
syshost=owens database=pbsacct software=atmosphere_model executables=None cpuhours=984182.97 corehours=760417.67 nodehours=35648.47 n_jobs=647 n_users=6 n_groups=1 n_accounts=1 year=2020 month=07
syshost=owens database=pbsacct software=namd executables=None cpuhours=622614.94 corehours=615427.86 nodehours=22236.25 n_jobs=436 n_users=5 n_groups=2 n_accounts=3 year=2020 month=07
syshost=owens database=pbsacct software=vasp executables=None cpuhours=466814.39 corehours=215655.82 nodehours=16671.95 n_jobs=1647 n_users=16 n_groups=10 n_accounts=9 year=2020 month=07
syshost=owens database=pbsacct software=ash executables=None cpuhours=412442.12 corehours=84818.19 nodehours=21003.69 n_jobs=2124 n_users=214 n_groups=119 n_accounts=109 year=2020 month=07
syshost=owens database=pbsacct software=qchem executables=None cpuhours=353991.30 corehours=212268.44 nodehours=22891.77 n_jobs=18935 n_users=17 n_groups=8 n_accounts=6 year=2020 month=07
syshost=owens database=pbsacct software=foam executables=None cpuhours=345427.27 corehours=43649.48 nodehours=12862.51 n_jobs=319 n_users=2 n_groups=2 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=gaussian executables=None cpuhours=298459.30 corehours=257385.54 nodehours=45937.67 n_jobs=6734 n_users=55 n_groups=34 n_accounts=31 year=2020 month=07
syshost=owens database=pbsacct software=lsp executables=None cpuhours=270600.99 corehours=254278.34 nodehours=9664.35 n_jobs=126 n_users=5 n_groups=1 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=abaqus executables=None cpuhours=237211.56 corehours=92471.86 nodehours=8696.49 n_jobs=1230 n_users=23 n_groups=12 n_accounts=9 year=2020 month=07
syshost=owens database=pbsacct software=amber executables=None cpuhours=235293.60 corehours=178410.89 nodehours=18235.06 n_jobs=4925 n_users=16 n_groups=13 n_accounts=11 year=2020 month=07
syshost=owens database=pbsacct software=ftb executables=None cpuhours=234276.71 corehours=233546.64 nodehours=8367.03 n_jobs=80 n_users=2 n_groups=2 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=R executables=None cpuhours=222110.76 corehours=30999.96 nodehours=17377.54 n_jobs=4923 n_users=35 n_groups=32 n_accounts=33 year=2020 month=07
syshost=owens database=pbsacct software=ncl executables=None cpuhours=217710.62 corehours=99592.26 nodehours=7984.36 n_jobs=9500 n_users=6 n_groups=5 n_accounts=7 year=2020 month=07
syshost=owens database=pbsacct software=ncbi executables=None cpuhours=210211.40 corehours=177327.34 nodehours=7676.82 n_jobs=1154 n_users=14 n_groups=8 n_accounts=8 year=2020 month=07
syshost=owens database=pbsacct software=fim executables=None cpuhours=184126.13 corehours=170294.06 nodehours=6575.93 n_jobs=635 n_users=6 n_groups=1 n_accounts=3 year=2020 month=07
syshost=owens database=pbsacct software=wrf executables=None cpuhours=131257.25 corehours=113424.50 nodehours=4691.15 n_jobs=1270 n_users=1 n_groups=1 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=fdl3di executables=None cpuhours=128655.75 corehours=127735.92 nodehours=4594.85 n_jobs=55 n_users=2 n_groups=2 n_accounts=1 year=2020 month=07
syshost=owens database=pbsacct software=mpas executables=None cpuhours=116301.97 corehours=37402.31 nodehours=6360.30 n_jobs=27429 n_users=12 n_groups=2 n_accounts=3 year=2020 month=07
syshost=owens database=pbsacct software=arts executables=None cpuhours=106952.56 corehours=51395.82 nodehours=4407.28 n_jobs=489 n_users=5 n_groups=4 n_accounts=4 year=2020 month=07
syshost=owens database=pbsacct software=ansys executables=None cpuhours=100377.52 corehours=92156.65 nodehours=3803.76 n_jobs=223 n_users=10 n_groups=8 n_accounts=8 year=2020 month=07
syshost=owens database=pbsacct software=lammps executables=None cpuhours=96830.93 corehours=72014.36 nodehours=6661.96 n_jobs=878 n_users=23 n_groups=17 n_accounts=17 year=2020 month=07
syshost=owens database=pbsacct software=comsol executables=None cpuhours=78363.29 corehours=2194.99 nodehours=2811.09 n_jobs=15 n_users=2 n_groups=2 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=gromacs executables=None cpuhours=77414.22 corehours=76619.84 nodehours=2765.51 n_jobs=209 n_users=5 n_groups=5 n_accounts=5 year=2020 month=07
syshost=owens database=pbsacct software=spades executables=None cpuhours=76147.25 corehours=49201.03 nodehours=3470.75 n_jobs=1892 n_users=4 n_groups=2 n_accounts=1 year=2020 month=07
syshost=owens database=pbsacct software=a_out executables=None cpuhours=75932.08 corehours=75313.73 nodehours=3026.05 n_jobs=328 n_users=7 n_groups=7 n_accounts=7 year=2020 month=07
syshost=owens database=pbsacct software=raspa executables=None cpuhours=70274.10 corehours=69876.81 nodehours=70274.10 n_jobs=3455 n_users=6 n_groups=2 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=orca executables=None cpuhours=64153.08 corehours=57223.69 nodehours=3165.37 n_jobs=280 n_users=7 n_groups=5 n_accounts=5 year=2020 month=07
syshost=owens database=pbsacct software=res executables=None cpuhours=55482.77 corehours=54430.65 nodehours=2970.90 n_jobs=2729 n_users=8 n_groups=8 n_accounts=7 year=2020 month=07
syshost=owens database=pbsacct software=bowtie executables=None cpuhours=55187.13 corehours=38890.45 nodehours=2762.65 n_jobs=1688 n_users=21 n_groups=11 n_accounts=12 year=2020 month=07
syshost=owens database=pbsacct software=gamess executables=None cpuhours=53491.64 corehours=34214.49 nodehours=2698.05 n_jobs=693 n_users=6 n_groups=5 n_accounts=6 year=2020 month=07
syshost=owens database=pbsacct software=drone executables=None cpuhours=49364.29 corehours=45533.15 nodehours=37713.65 n_jobs=3818 n_users=3 n_groups=2 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=adf executables=None cpuhours=44015.67 corehours=7302.29 nodehours=1621.57 n_jobs=2219 n_users=25 n_groups=21 n_accounts=20 year=2020 month=07
syshost=owens database=pbsacct software=lsdyna executables=None cpuhours=42016.86 corehours=41556.80 nodehours=1500.61 n_jobs=138 n_users=4 n_groups=4 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=samtools executables=None cpuhours=42000.18 corehours=16908.27 nodehours=1093.12 n_jobs=306 n_users=8 n_groups=8 n_accounts=8 year=2020 month=07
syshost=owens database=pbsacct software=bedtools executables=None cpuhours=41998.89 corehours=2251.58 nodehours=1833.80 n_jobs=1550 n_users=12 n_groups=9 n_accounts=9 year=2020 month=07
syshost=owens database=pbsacct software=fastx executables=None cpuhours=39035.73 corehours=12723.45 nodehours=1951.79 n_jobs=286 n_users=2 n_groups=2 n_accounts=2 year=2020 month=07
syshost=owens database=pbsacct software=run_xyzvort executables=None cpuhours=34969.97 corehours=3247.74 nodehours=1181.24 n_jobs=166 n_users=9 n_groups=7 n_accounts=8 year=2020 month=07
