syshost=pitzer database=xalt year=2018 month=07 software=None executables=xhpcg_skx cpuhours=20.11 corehours=0 nodehours=0.5 n_jobs=4 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=pmi_proxy cpuhours=19.11 corehours=0 nodehours=19.11 n_jobs=116 n_users=2 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=xhpl_intel64_static cpuhours=9.68 corehours=0 nodehours=9.68 n_jobs=62 n_users=2 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=stream-x64-omp cpuhours=4.9 corehours=0 nodehours=0.12 n_jobs=114 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=laplace cpuhours=0.23 corehours=0 nodehours=0.23 n_jobs=5 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=tig cpuhours=0.02 corehours=0 nodehours=0.02 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=cmake cpuhours=0.01 corehours=0 nodehours=0.01 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=mcpcom cpuhours=0.01 corehours=0 nodehours=0.01 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=MakeTable cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=a.out cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=chew cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=cpp cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=hello cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=matmult.exe cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=matmult.exe.mpi cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=osu_bw cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=2 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=osu_latency cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=2 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=pprof cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
syshost=pitzer database=xalt year=2018 month=07 software=None executables=test.intel cpuhours=0.0 corehours=0 nodehours=0.0 n_jobs=1 n_users=1 n_groups=0 n_accounts=0 
